Category: All categories

Month,financial analyst jobs: (United Kingdom),business analyst jobs: (United Kingdom),data scientist jobs: (United Kingdom),data analyst jobs: (United Kingdom)
2018-11,4,65,4,49
2018-12,2,41,14,48
2019-01,4,69,17,45
2019-02,5,89,21,38
2019-03,9,65,16,40
2019-04,5,55,14,51
2019-05,11,76,15,37
2019-06,16,65,27,56
2019-07,4,70,17,72
2019-08,20,78,22,66
2019-09,13,54,28,52
2019-10,10,100,14,58
2019-11,16,64,20,50
2019-12,10,78,18,57
2020-01,28,75,17,62
2020-02,8,83,20,75
2020-03,10,52,22,45
2020-04,22,61,24,36
2020-05,20,77,20,58
2020-06,19,51,32,62
2020-07,27,43,25,53
2020-08,19,61,15,77
2020-09,17,48,31,79
2020-10,13,49,23,46
2020-11,15,44,15,65
2020-12,6,39,12,63
2021-01,11,57,26,53
2021-02,14,64,8,60
2021-03,10,58,14,43
2021-04,13,40,11,64
2021-05,6,59,20,55
2021-06,6,55,19,59
2021-07,15,61,19,57
2021-08,15,43,26,56
2021-09,18,59,25,68
2021-10,9,36,13,54
2021-11,5,34,15,50
2021-12,5,28,13,46
2022-01,5,40,25,65
